run_accession	fastq_galaxy	sample_accession	sample_alias
ERR9709213	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709213/ERR9709213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709213/ERR9709213_2.fastq.gz	SAMEA14369679	BAL_22_M-HER013
ERR9709215	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709215/ERR9709215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709215/ERR9709215_2.fastq.gz	SAMEA14369681	BAL_22_M-HER015
ERR9709221	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709221/ERR9709221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709221/ERR9709221_2.fastq.gz	SAMEA14369687	BAL_22_M-HER021
ERR9709226	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709226/ERR9709226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709226/ERR9709226_2.fastq.gz	SAMEA14369692	BAL_22_M-HER026
ERR9709227	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709227/ERR9709227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709227/ERR9709227_2.fastq.gz	SAMEA14369693	BAL_22_M-HER027
ERR9709229	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709229/ERR9709229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709229/ERR9709229_2.fastq.gz	SAMEA14369695	BAL_22_M-HER029
ERR9709231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709231/ERR9709231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709231/ERR9709231_2.fastq.gz	SAMEA14369697	BAL_22_M-HER034
ERR9709094	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709094/ERR9709094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709094/ERR9709094_2.fastq.gz	SAMEA14369559	BAL_22_HER001c
ERR9709233	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709233/ERR9709233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709233/ERR9709233_2.fastq.gz	SAMEA14369699	BAL_22_M-HER036
ERR9709096	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709096/ERR9709096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709096/ERR9709096_2.fastq.gz	SAMEA14369561	BAL_22_HER002b
ERR9709239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709239/ERR9709239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709239/ERR9709239_2.fastq.gz	SAMEA14369705	BAL_22_M-HER046
